Carpeta;Fichero;CuentaNIF;Ultimo acceso;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;aaa_Classic_{728047C0-00D2-4FDB-A069-06338B92E93B}.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;aaa_Classic_{A88F43D0-B9C8-42F2-B9F3-90902FC0B22B}.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;aaa_Classic_{7940ACF8-60BA-4213-A7C3-F3B400EE266D}.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_Proxy_Automatic_Config_Group.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupAppSizesList.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;aaa_Classic_{E2E2F6CF-9D1A-4004-8999-8AB81010B5AC}.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupDataSenseMainPageSettings.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupDataSenseMainPageOverview.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupEaseOfAccessFilterKeys.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupEaseOfAccessNarrator.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupEaseOfAccessOSK.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupEaseOfAccessOther.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupEaseOfAccessToggleKeys.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupEaseOfAccessStickyKeys.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupInputMouse.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupLockScreenPreview.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\TileDataLayer\Database\;EDBres00002.jrs;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupFamilyUsers.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupMapsUpdates.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupAutoplayDefaults.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPCSystemDetails.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPCSystemDeviceEncryption.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPCSystemWindowsInfo.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPCSystemSupportInfo.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupNotificationsAppList.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPersonalizeColorChoose.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPen.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupOneSyncAccounts.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPowerAndSleepDisplayOff.settingcontent-ms;0;09/12/2015 8:13:33;
